,"No. DE ASPIRANTES POR ESTADO, NIVEL Y GÉNERO",,,,,,,No. DE ALUMNOS INSCRITOS POR ESTADO Y GÉNERO,,,,,
,,PREPARATORIA,,PROPEDÉUTICO,,TOTAL,,,PREPARATORIA,,PROPEDÉUTICO,,TOTAL
,ESTADO,H,M,H,M,,,ESTADO,H,M,H,M,
,AGUASCALIENTES,9,5,30,34,78,,AGUASCALIENTES,1,3,3,3,10
,BAJA CALIFORNIA,12,19,68,80,179,,BAJA CALIFORNIA,1,3,14,7,25
,BAJA CALIFORNIA SUR,5,1,9,4,19,,BAJA CALIFORNIA SUR,2,1,1,,4
,CAMPECHE,20,16,53,42,131,,CAMPECHE,3,2,10,2,17
,CHIAPAS,203,168,420,395,"1,186",,CHIAPAS,29,24,31,19,103
,CHIHUAHUA,14,10,67,65,156,,CHIHUAHUA,1,1,12,10,24
,CIUDAD DE MÉXICO,420,439,842,"1,154","2,855",,CIUDAD DE MÉXICO,48,23,22,14,107
,COAHUILA DE ZARAGOZA,14,12,33,37,96,,COAHUILA DE ZARAGOZA,6,1,6,3,16
,COLIMA,,3,17,17,37,,COLIMA,,,8,3,11
,DURANGO,72,81,188,214,555,,DURANGO,19,17,25,23,84
,GUANAJUATO,78,46,253,270,647,,GUANAJUATO,13,10,16,12,51
,GUERRERO,191,190,430,504,"1,315",,GUERRERO,31,27,35,28,121
,HIDALGO,288,250,542,663,"1,743",,HIDALGO,50,36,24,25,135
,JALISCO,27,18,70,65,180,,JALISCO,5,2,8,4,19
,MÉXICO,"2,139","2,252",2958,"3,834","11,183",,MÉXICO,179,125,59,41,404
,MICHOACÁN DE OCAMPO,60,55,243,205,563,,MICHOACÁN DE OCAMPO,8,10,24,5,47
,MORELOS,138,117,414,364,"1,033",,MORELOS,21,18,12,7,58
,NACIDO EN EL EXTRANJERO,33,49,75,105,262,,NACIDO EN EL EXTRANJERO,3,5,7,6,21
,NAYARIT,15,12,54,34,115,,NAYARIT,2,1,8,6,17
,NUEVO LEÓN,4,5,10,11,30,,NUEVO LEÓN,,2,1,1,4
,OAXACA,614,760,875,"1,133","3,382",,OAXACA,130,127,89,86,432
,PUEBLA,462,486,987,"1,116","3,051",,PUEBLA,105,80,52,36,273
,QUERÉTARO ARTEAGA,43,49,113,160,365,,QUERÉTARO ARTEAGA,12,5,5,8,30
,QUINTANA ROO,12,10,27,25,74,,QUINTANA ROO,2,3,5,3,13
,SAN LUIS POTOSÍ,39,36,97,129,301,,SAN LUIS POTOSÍ,9,8,5,13,35
,SINALOA,11,5,28,18,62,,SINALOA,2,,4,1,7
,SONORA,5,5,14,21,45,,SONORA,2,2,1,4,9
,TABASCO,24,20,68,76,188,,TABASCO,4,1,7,10,22
,TAMAULIPAS,15,15,56,70,156,,TAMAULIPAS,4,2,11,9,26
,TLAXCALA,98,84,175,208,565,,TLAXCALA,12,9,6,4,31
,VERACRUZ DE IGNACIO DE LA LLAVE,275,282,676,830,"2,063",,VERACRUZ DE IGNACIO DE LA LLAVE,45,35,53,37,170
,YUCATÁN,2,5,40,27,74,,YUCATÁN,,2,5,6,13
,ZACATECAS,26,13,62,68,169,,ZACATECAS,4,3,10,4,21
,TOTAL,"5,368","5,518","9,994","11,978","32,858",,Total general,753,588,579,440,"2,360"
